File,Signature,StartLine,EndLine,Suspiciousness
org.mockito.ArgumentCaptor,"('ArgumentCaptor()',)",65,88,0.18191843999057528
org.mockito.internal.matchers.ArrayEquals,"('createObjectArray(java.lang.Object)',)",67,74,0.10483747372375096
org.mockito.internal.configuration.injection.scanner.MockScanner,"('preparedMock(java.lang.Object,java.lang.reflect.Field)',)",70,76,0.09898962789235562
org.mockito.internal.invocation.InvocationMatcher,"('captureArgumentsFrom(org.mockito.invocation.Invocation)',)",119,141,0.09842535470754339
org.mockito.internal.matchers.CapturingMatcher,"('getLastValue()',)",36,40,0.08812253936851241
org.mockito.internal.invocation.ArgumentsProcessor,"('expandVarArgs(boolean,java.lang.Object[])',)",22,38,0.07692552645421231
org.mockito.internal.matchers.LocalizedMatcher,"('captureFrom(java.lang.Object)',)",62,65,0.07459899843620621
org.mockito.internal.progress.HandyReturnValues,"('returnFor(java.lang.Class)',)",37,40,0.06863313205583663
org.mockito.internal.util.MockUtil,"('getMockHandler(java.lang.Object)',)",52,60,0.05177136183400798
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker,"('check(java.util.List,org.mockito.internal.invocation.InvocationMatcher,int)',)",34,49,0.04849335601547317
org.mockito.internal.verification.checkers.MissingInvocationChecker,"('check(java.util.List,org.mockito.internal.invocation.InvocationMatcher)',)",32,45,0.04799876253297458
org.mockito.internal.progress.ArgumentMatcherStorageImpl,"('validateState()',)",112,117,0.04785689507060345
org.mockito.internal.invocation.ArgumentsComparator,"('varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation)',)",35,69,0.043340831163481176
org.mockito.internal.util.MockNameImpl,"('toInstanceName(java.lang.Class)',)",32,38,0.04283966084831549
org.mockito.internal.invocation.MatchersBinder,"('validateMatchers(org.mockito.invocation.Invocation,java.util.List)',)",31,38,0.04240726442238876
org.mockito.exceptions.Reporter,"('wantedButNotInvoked(org.mockito.invocation.DescribedInvocation,java.util.List)',)",320,334,0.04228705907329951
org.mockito.internal.handler.MockHandlerImpl,"('createVerificationData(org.mockito.internal.stubbing.InvocationContainerImpl,org.mockito.internal.invocation.InvocationMatcher)',)",128,132,0.04215323622374447
org.mockito.internal.verification.VerificationDataImpl,"('assertWantedIsVerifiable()',)",36,43,0.041862063266770604
org.mockito.internal.MockitoCore,"('verify(java.lang.Object,org.mockito.verification.VerificationMode)',)",84,90,0.04089326412052964
org.mockito.internal.progress.MockingProgressImpl,"('validateState()',)",68,76,0.04083121674776192
org.mockito.internal.util.MockCreationValidator,"('validateExtraInterfaces(java.lang.Class,java.util.Collection)',)",26,35,0.037492208061531675
org.mockito.internal.util.MockCreationValidator,"('validateMockedType(java.lang.Class,java.lang.Object)',)",38,44,0.03737773092020092
org.mockito.internal.util.reflection.FieldReader,"('read()',)",29,31,0.037113480951260276
